antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
FRUIT - SHELF STABLE,BAKED BREAD/BUNS/ROLLS,0.04723455793298345,0.2228502220427937,0.028125420535594133,0.5954415954415954,2.6719362896899126,1.0,0.01759918881213557,1.9209829018519673,0.6567614143216284,0.11624026696329254,0.47943315943315934,0.3608246624550972,FRUIT - SHELF STABLE,BAKED BREAD/BUNS/ROLLS
FRZN MEAT/MEAT DINNERS,BAKED BREAD/BUNS/ROLLS,0.08626026106849684,0.2228502220427937,0.04077513120710537,0.4726989079563182,2.1211507155938407,1.0,0.021552012874521492,1.473825466480974,0.5784555038714474,0.1519558676028084,0.32149360779625985,0.3278349612245359,FRZN MEAT/MEAT DINNERS,BAKED BREAD/BUNS/ROLLS
FRZN NOVELTIES/WTR ICE,BAKED BREAD/BUNS/ROLLS,0.04400484457004441,0.2228502220427937,0.020320279908491456,0.46177370030581044,2.072125825466472,1.0,0.010513790525098434,1.4439089624545822,0.5412201315553964,0.08242358078602621,0.3074355613805156,0.27647863759251873,FRZN NOVELTIES/WTR ICE,BAKED BREAD/BUNS/ROLLS
HISPANIC,BAKED BREAD/BUNS/ROLLS,0.04925312878482035,0.2228502220427937,0.02691427802449199,0.5464480874316939,2.452086798130989,1.0,0.015938207338492463,1.7134748116405871,0.6228619957537155,0.1097694840834248,0.41639060393158744,0.33361051714579865,HISPANIC,BAKED BREAD/BUNS/ROLLS
HOT DOGS,BAKED BREAD/BUNS/ROLLS,0.053559413268739066,0.2228502220427937,0.03889113174539093,0.7261306532663317,3.258379761124463,1.0,0.02695540460597068,2.8376661617153047,0.732321724032576,0.16373937677053824,0.6475977289042617,0.45032378073944607,HOT DOGS,BAKED BREAD/BUNS/ROLLS
ICE CREAM/MILK/SHERBTS,BAKED BREAD/BUNS/ROLLS,0.0715919795451487,0.2228502220427937,0.025299421343022474,0.3533834586466165,1.5857442519341831,1.0,0.009345132804902942,1.2018711682361445,0.39786524719894656,0.094,0.16796406600917876,0.23345501434746285,ICE CREAM/MILK/SHERBTS,BAKED BREAD/BUNS/ROLLS
LUNCHMEAT,BAKED BREAD/BUNS/ROLLS,0.08558740411788454,0.2228502220427937,0.04979141434531019,0.5817610062893082,2.6105471242366236,1.0,0.030718242333573304,1.8581475894014405,0.6746828948153453,0.19250780437044746,0.4618296169239565,0.4025954789900647,LUNCHMEAT,BAKED BREAD/BUNS/ROLLS
MARGARINES,BAKED BREAD/BUNS/ROLLS,0.045081415691024085,0.2228502220427937,0.023819136051675415,0.5283582089552239,2.3709117456197277,1.0,0.013772732554927215,1.647754276048507,0.6055189841973516,0.09757442116868799,0.39311339406861795,0.3176211334631192,MARGARINES,BAKED BREAD/BUNS/ROLLS
MEAT - SHELF STABLE,BAKED BREAD/BUNS/ROLLS,0.046023415421881306,0.2228502220427937,0.02974027721706365,0.6461988304093568,2.8997001864564798,1.0,0.019483948871129666,2.196572099680699,0.6867430197444386,0.12436691052335395,0.5447451963241438,0.38982646834477497,MEAT - SHELF STABLE,BAKED BREAD/BUNS/ROLLS
MILK BY-PRODUCTS,BAKED BREAD/BUNS/ROLLS,0.07038083703404656,0.2228502220427937,0.034181133091104834,0.48565965583174003,2.179309723723225,1.0,0.018496747930509882,1.5109640664372452,0.5821083851200708,0.13194805194805195,0.3381708922053091,0.3195206491719087,MILK BY-PRODUCTS,BAKED BREAD/BUNS/ROLLS
ONIONS,BAKED BREAD/BUNS/ROLLS,0.05557798412057596,0.2228502220427937,0.028125420535594133,0.5060532687651332,2.2708223672667303,1.0,0.01573985443363292,1.5733473445898345,0.592564437856994,0.11236559139784946,0.36441243986038185,0.31613049911686614,ONIONS,BAKED BREAD/BUNS/ROLLS
PASTA SAUCE,BAKED BREAD/BUNS/ROLLS,0.042928273449064726,0.2228502220427937,0.024357421612165253,0.5673981191222571,2.546096270046795,1.0,0.014790846342127413,1.7964549215097743,0.6344789601576046,0.10089186176142698,0.4433481252290031,0.33834881801523486,PASTA SAUCE,BAKED BREAD/BUNS/ROLLS
PNT BTR/JELLY/JAMS,BAKED BREAD/BUNS/ROLLS,0.04387027317992195,0.2228502220427937,0.02691427802449199,0.6134969325153374,2.7529563439139326,1.0,0.017137777905268367,2.010720854079756,0.6659704433497536,0.1122334455667789,0.5026659230340212,0.3671349396876204,PNT BTR/JELLY/JAMS,BAKED BREAD/BUNS/ROLLS
PORK,BAKED BREAD/BUNS/ROLLS,0.04279370205894227,0.2228502220427937,0.021531422419593594,0.5031446540880503,2.2577704858262693,1.0,0.011994836413725151,1.5641368948758962,0.5819907212146773,0.08820286659316427,0.3606697704810912,0.2998815057879865,PORK,BAKED BREAD/BUNS/ROLLS
POTATOES,BAKED BREAD/BUNS/ROLLS,0.04804198627371821,0.2228502220427937,0.022877136320818194,0.47619047619047616,2.1368184955141474,1.0,0.012170969012343245,1.483649576100121,0.558863443596268,0.09224091155724363,0.3259863945578231,0.289423740510697,POTATOES,BAKED BREAD/BUNS/ROLLS
REFRGRATD JUICES/DRNKS,BAKED BREAD/BUNS/ROLLS,0.10510025568564123,0.2228502220427937,0.04804198627371821,0.4571062740076825,2.0511815955018653,1.0,0.02462037095741867,1.4314952277938167,0.5726631705313705,0.17163461538461539,0.30142973543741797,0.336342992076305,REFRGRATD JUICES/DRNKS,BAKED BREAD/BUNS/ROLLS
SALAD MIX,BAKED BREAD/BUNS/ROLLS,0.055308841340331046,0.2228502220427937,0.027048849414614454,0.48905109489051096,2.1945281921083253,1.0,0.014723261840992033,1.5209931368591036,0.5761895649955352,0.10771704180064309,0.3425348374253484,0.30521395324235695,SALAD MIX,BAKED BREAD/BUNS/ROLLS
SALD DRSNG/SNDWCH SPRD,BAKED BREAD/BUNS/ROLLS,0.07455255012784281,0.2228502220427937,0.03821827479477863,0.5126353790613719,2.3003583948098156,1.0,0.02160422244493235,1.5945962110677494,0.6108235862755419,0.1474558670820353,0.37288199165455493,0.34206648180121735,SALD DRSNG/SNDWCH SPRD,BAKED BREAD/BUNS/ROLLS
BAKED BREAD/BUNS/ROLLS,SOFT DRINKS,0.2228502220427937,0.28367649037814563,0.09500740142645674,0.42632850241545894,1.502868643951269,1.0,0.03179003255736655,1.2486649809829375,0.43055516721239095,0.23086984957488552,0.19914467432825012,0.38062155671057574,BAKED BREAD/BUNS/ROLLS,SOFT DRINKS
SOFT DRINKS,BAKED BREAD/BUNS/ROLLS,0.28367649037814563,0.2228502220427937,0.09500740142645674,0.3349146110056926,1.502868643951269,1.0,0.03179003255736655,1.1684962424634744,0.4671155533818444,0.23086984957488552,0.14419921634342886,0.38062155671057574,SOFT DRINKS,BAKED BREAD/BUNS/ROLLS
SOUP,BAKED BREAD/BUNS/ROLLS,0.06715112367110752,0.2228502220427937,0.03512313282196205,0.5230460921843687,2.3470745839505094,1.0,0.020158490001432636,1.6294022655489324,0.6152526016276338,0.13780359028511086,0.38627801056658767,0.34032739391827127,SOUP,BAKED BREAD/BUNS/ROLLS
TOMATOES,BAKED BREAD/BUNS/ROLLS,0.072264836495761,0.2228502220427937,0.03727627506392141,0.515828677839851,2.314687744582085,1.0,0.021172040204954886,1.6051131952423836,0.6122181272052608,0.14457202505219205,0.37699097922561603,0.34154960462040856,TOMATOES,BAKED BREAD/BUNS/ROLLS
TROPICAL FRUIT,BAKED BREAD/BUNS/ROLLS,0.12663167810523482,0.2228502220427937,0.05813484053290271,0.459086078639745,2.060065610127986,1.0,0.029914942949499552,1.4367346582666625,0.5891884951206986,0.19953810623556584,0.30397725547566146,0.35997782192856814,TROPICAL FRUIT,BAKED BREAD/BUNS/ROLLS
